product_id,addressable_population,estimated_penetration,competition_level,market_access_level,relative_price_index,marketing_awareness,launch_strength,physician_awareness,clinical_evidence_strength,treatment_familiarity
P037,201133,0.253,5.7,2.5,0.83,6.0,8.6,7.7,8.5,5.2
P038,124542,0.165,5.2,2.6,0.8,3.1,3.6,4.3,9.2,7.7
P039,84010,0.159,7.0,1.5,2.03,4.0,8.6,6.1,4.3,5.4
P040,38986,0.16,4.1,5.8,1.5,9.3,6.7,5.2,1.9,6.2
P041,26814,0.091,1.1,7.3,1.06,6.6,5.3,5.4,6.7,5.9
P042,187766,0.261,7.6,6.0,1.38,9.9,3.6,9.2,6.9,2.3
P043,19980,0.076,4.7,1.8,2.09,9.3,8.4,7.0,6.0,2.1
P044,147515,0.088,8.8,8.2,1.98,6.6,8.7,5.9,1.4,4.9
P045,38695,0.02,8.7,8.7,1.2,4.6,3.5,5.1,3.7,2.8
P046,626194,0.02,3.7,2.2,1.32,4.5,9.2,8.2,6.2,4.9
P047,115804,0.124,4.1,9.6,1.34,3.6,9.1,2.7,7.8,2.5
P048,126138,0.345,3.7,3.9,0.98,6.1,8.1,5.5,2.4,6.1
P049,66711,0.114,2.7,1.9,1.62,5.6,4.9,7.0,6.9,1.2
P050,43319,0.111,5.6,1.5,1.13,1.5,7.3,3.4,2.0,5.6
P051,97647,0.108,5.6,4.0,1.48,8.6,3.3,7.9,4.9,1.0
P052,196926,0.249,1.4,7.4,1.42,2.2,9.3,5.2,2.4,6.0
P053,39396,0.185,8.6,8.7,0.51,8.0,8.7,6.1,6.6,4.7
P054,43098,0.223,3.9,6.4,2.1,3.9,1.7,5.8,2.9,1.5
P055,335473,0.02,9.0,2.1,1.69,2.6,5.6,3.1,2.3,4.5
P056,123489,0.064,8.9,6.6,1.57,6.4,3.7,6.4,3.5,1.6
P057,46141,0.245,6.0,7.1,1.29,7.8,9.9,5.6,7.5,5.8
P058,56091,0.036,9.0,7.1,1.29,2.6,2.8,3.3,2.3,1.0
P059,8905,0.035,8.0,1.9,1.64,8.2,1.9,8.3,9.1,8.9
P060,90765,0.109,4.6,6.5,1.14,6.4,9.4,5.0,6.2,6.8
P061,17270,0.086,9.6,1.9,0.99,3.5,2.8,3.2,7.8,4.7
P062,189445,0.089,6.9,2.0,1.49,7.9,8.9,6.4,3.3,6.5
P063,66956,0.161,1.9,6.6,2.19,3.3,2.4,6.7,5.9,3.9
P064,108260,0.138,8.0,9.5,0.91,1.9,3.4,3.3,2.1,3.2
P065,359572,0.058,5.8,3.2,1.0,9.0,8.0,6.1,2.5,8.0
P066,99251,0.188,9.6,9.6,1.46,2.9,3.3,6.5,2.5,6.2
P067,71673,0.062,2.7,8.4,2.48,2.4,9.3,3.2,7.7,4.1
P068,142519,0.167,2.9,4.9,2.35,9.9,3.5,5.4,6.8,6.9
P069,40145,0.176,7.5,6.9,1.42,9.6,4.1,6.8,6.4,6.5
P070,75180,0.272,6.9,9.5,1.1,4.6,6.1,6.6,4.3,5.1
P071,174646,0.255,2.1,7.0,0.68,1.2,3.9,6.9,6.9,4.4
P072,77152,0.228,2.2,7.1,1.07,5.9,7.3,5.1,9.2,1.7
P073,62923,0.175,1.2,8.9,1.3,9.4,8.7,4.9,6.5,7.0
P074,60846,0.129,9.3,9.8,2.19,7.9,5.3,4.0,7.7,8.1
P075,365362,0.02,8.3,2.5,2.22,8.2,8.6,6.0,1.1,4.1
P076,121067,0.207,4.8,9.4,1.74,2.2,8.1,5.0,9.8,5.9
P077,57729,0.258,5.5,6.9,1.87,1.9,7.6,6.3,9.9,8.0
P078,36768,0.213,8.1,8.4,2.16,7.7,8.2,4.3,4.7,4.5
P079,40547,0.169,1.5,4.9,0.5,6.9,8.4,5.7,8.0,5.0
P080,342332,0.133,4.6,3.3,1.98,7.8,5.2,2.6,7.8,1.8
P081,988073,0.108,4.3,5.5,1.34,6.2,4.7,5.7,5.2,4.5
P082,59872,0.022,9.9,4.2,0.62,6.1,4.7,6.1,7.6,3.2
P083,58414,0.282,3.7,7.0,1.06,1.1,6.4,3.6,5.4,5.2
P084,82753,0.021,6.9,9.3,1.59,8.3,2.2,9.2,3.1,4.0
P085,96229,0.15,3.9,4.0,1.81,3.5,1.3,6.9,7.0,3.9
P086,441472,0.227,3.9,2.1,1.13,5.3,6.0,7.1,7.0,6.6
P087,38013,0.095,8.6,7.2,1.19,1.9,4.2,7.6,6.4,3.4
P088,120016,0.143,3.9,3.1,1.67,8.1,4.8,5.8,7.0,5.1
P089,12996,0.232,1.4,1.3,2.43,2.9,4.0,3.7,2.1,6.0
P090,165026,0.297,3.7,7.5,1.94,3.5,6.7,8.1,8.7,7.6
P091,268053,0.16,6.2,5.5,1.78,3.6,4.2,6.1,9.1,5.8
P092,25971,0.158,2.9,8.9,2.29,3.4,4.7,5.2,2.9,5.0
P093,175035,0.045,6.7,4.8,1.56,9.8,6.0,6.6,3.8,4.9
P094,24742,0.142,3.7,4.3,1.86,9.5,9.9,4.7,4.9,4.6
P095,641342,0.247,9.9,2.0,0.82,7.7,4.2,7.0,9.2,3.6
P096,88289,0.137,6.8,5.6,0.9,5.9,1.4,6.9,1.1,8.4
P097,19028,0.031,4.7,2.5,2.01,9.0,8.9,7.3,2.0,7.3
P098,79196,0.158,4.9,5.5,1.99,5.6,7.4,9.2,2.0,6.3
P099,127380,0.12,5.1,2.6,0.6,9.0,8.7,7.5,8.6,6.0
P100,104602,0.063,7.4,7.7,1.54,9.0,8.3,4.9,3.8,4.7
P101,216453,0.14,5.2,9.4,2.42,2.3,6.8,3.3,9.1,5.3
P102,138907,0.076,7.6,4.7,0.65,3.6,5.2,4.6,1.2,5.0
P103,208782,0.24,4.4,1.8,2.25,4.4,1.8,6.7,9.9,9.1
P104,603578,0.089,6.9,5.7,0.56,4.9,3.7,3.3,5.3,3.7
P105,223378,0.244,4.4,7.1,1.78,6.6,6.4,2.4,3.6,4.8
P106,163221,0.264,7.5,7.7,0.65,9.2,7.2,5.9,2.9,3.8
P107,109630,0.31,5.1,8.2,1.73,4.0,1.5,4.5,3.6,4.6
P108,153625,0.277,3.7,4.7,1.32,8.3,5.5,6.9,7.3,3.4
P109,370925,0.191,1.8,7.0,0.92,9.1,7.6,5.0,4.0,1.5
P110,26513,0.204,2.2,7.2,1.34,4.6,7.0,3.9,1.0,4.4
P111,85573,0.02,8.6,4.6,0.96,1.7,9.6,5.1,2.6,1.0
P112,112911,0.075,7.3,8.1,2.15,2.0,2.5,2.8,6.2,5.5
P113,88178,0.138,1.9,8.2,1.36,10.0,2.9,7.1,4.7,1.0
P114,629262,0.158,9.2,6.3,2.35,9.5,9.8,7.3,4.2,6.6
P115,171008,0.142,5.9,7.5,0.72,8.6,7.9,8.7,6.4,5.6
P116,517349,0.168,8.9,5.0,0.7,8.7,6.4,5.6,8.6,5.6
P117,39776,0.258,4.8,9.8,1.47,9.4,7.4,3.6,7.1,5.2
P118,50208,0.197,2.5,7.1,1.92,4.7,6.3,5.6,1.3,9.1
P119,254158,0.233,2.5,8.0,0.79,1.6,5.8,4.8,4.4,5.1
P120,32429,0.244,6.4,9.2,1.77,7.2,8.7,7.6,1.8,6.6
P121,250497,0.209,8.5,7.6,1.4,7.9,9.7,3.6,7.4,4.9
P122,137285,0.074,7.4,2.6,1.91,4.6,3.1,6.4,4.1,2.3
P123,108473,0.163,8.4,5.5,2.36,3.1,9.3,4.6,5.1,7.5
P124,242387,0.02,9.9,3.3,0.55,3.5,10.0,3.5,9.4,4.7
P125,48266,0.242,3.4,8.0,1.49,8.2,8.6,7.1,6.3,2.7
P126,271039,0.02,7.7,7.9,2.18,7.4,4.5,5.6,5.8,7.5
P127,11015,0.102,5.7,1.7,1.26,9.3,1.3,6.6,9.8,5.5
P128,155697,0.173,9.5,7.8,2.49,7.5,6.5,5.8,8.2,5.3
P129,157744,0.294,7.1,3.4,2.48,7.5,1.8,7.7,8.3,4.8
P130,51203,0.106,2.4,3.1,2.21,8.1,8.6,6.2,1.7,4.4
P131,262506,0.269,5.6,9.4,0.98,9.4,7.7,4.8,1.5,6.8
P132,121742,0.155,9.7,7.4,1.78,3.6,8.1,3.6,8.6,8.3
P133,269389,0.118,3.0,7.7,2.5,3.2,3.6,4.7,4.5,4.3
P134,32494,0.045,8.6,9.9,2.3,10.0,3.5,6.6,3.8,4.4
P135,327625,0.221,7.6,7.8,0.87,4.1,6.9,5.2,1.5,6.0
P136,69570,0.202,1.5,1.1,2.2,6.3,5.1,4.8,6.8,6.6
P137,17357,0.233,1.4,9.7,1.7,4.4,6.2,5.2,4.9,1.8
P138,41976,0.096,6.2,2.1,1.99,1.8,6.0,5.2,8.0,1.0
P139,83019,0.222,7.9,5.2,0.94,8.8,8.0,4.2,5.1,6.8
P140,36687,0.236,6.4,8.7,1.26,9.9,7.2,6.4,7.7,5.8
P141,19957,0.333,9.5,9.2,0.66,2.2,3.2,3.5,4.2,5.2
P142,308585,0.092,8.1,5.4,1.23,6.4,7.1,7.5,9.2,4.6
P143,53374,0.02,9.2,7.5,0.91,4.7,4.2,5.8,5.4,1.7
P144,20819,0.151,2.4,3.4,2.41,3.7,5.9,4.8,5.1,6.2
P145,91320,0.02,5.1,1.4,0.58,5.6,2.4,5.3,9.8,5.7
P146,76628,0.169,4.2,3.8,2.44,9.1,6.8,5.7,3.7,1.0
P147,178101,0.232,6.8,9.3,1.1,2.3,6.5,4.8,8.2,5.6
P148,14723,0.274,7.4,9.7,0.81,1.1,7.5,6.7,2.4,4.5
P149,86645,0.024,7.2,4.6,2.4,5.9,3.2,3.6,8.6,5.8
P150,144813,0.207,1.5,8.6,1.83,2.3,6.9,5.6,8.3,6.7
