product_id,week_since_launch,weekly_rx,cumulative_rx
P002,47,12,9862
P002,48,0,9862
P002,49,9,9871
P002,50,20,9891
P002,51,0,9891
P002,52,0,9891
P003,1,60,60
P003,2,44,104
P003,3,42,145
P003,4,47,193
P003,5,47,240
P003,6,63,303
P003,7,58,361
P003,8,92,453
P003,9,69,522
P003,10,90,612
P003,11,67,679
P003,12,97,776
P003,13,97,873
P003,14,125,999
P003,15,64,1062
P003,16,88,1150
P003,17,122,1272
P003,18,101,1373
P003,19,97,1470
P003,20,134,1604
P003,21,110,1714
P003,22,154,1867
P003,23,124,1992
P003,24,112,2103
P003,25,115,2218
P003,26,108,2326
P003,27,131,2457
P003,28,125,2582
P003,29,117,2699
P003,30,126,2825
P003,31,135,2960
P003,32,112,3072
P003,33,119,3190
P003,34,92,3283
P003,35,91,3374
P003,36,101,3474
P003,37,79,3553
P003,38,90,3642
P003,39,75,3717
P003,40,51,3768
P003,41,52,3820
P003,42,53,3873
P003,43,23,3896
P003,44,50,3946
P003,45,35,3982
P003,46,48,4030
P003,47,61,4090
P003,48,40,4130
P003,49,28,4158
P003,50,31,4189
P003,51,39,4228
P003,52,45,4273
P004,1,1449,1449
P004,2,1631,3080
P004,3,1477,4557
P004,4,2100,6657
P004,5,2016,8673
P004,6,1802,10476
P004,7,1938,12414
P004,8,2896,15310
P004,9,1880,17190
P004,10,2720,19910
P004,11,2052,21961
P004,12,2939,24900
P004,13,2408,27308
P004,14,2203,29511
P004,15,1742,31253
P004,16,1392,32645
P004,17,1402,34047
P004,18,1169,35216
P004,19,879,36096
P004,20,791,36887
P004,21,696,37583
P004,22,478,38061
P004,23,582,38643
P004,24,416,39059
P004,25,185,39244
P004,26,448,39692
P004,27,238,39931
P004,28,275,40206
P004,29,0,40206
P004,30,66,40271
P004,31,89,40360
P004,32,0,40360
P004,33,24,40384
P004,34,16,40400
P004,35,150,40550
P004,36,0,40550
P004,37,77,40628
P004,38,107,40734
P004,39,186,40920
P004,40,77,40997
P004,41,0,40997
P004,42,0,40997
P004,43,29,41026
P004,44,122,41148
P004,45,0,41148
P004,46,50,41198
P004,47,0,41198
P004,48,0,41198
P004,49,0,41198
P004,50,0,41198
P004,51,70,41268
P004,52,0,41268
P005,1,4,4
P005,2,0,4
P005,3,0,4
P005,4,32,35
P005,5,17,52
P005,6,26,78
P005,7,0,78
P005,8,20,98
P005,9,0,98
P005,10,45,143
P005,11,34,177
P005,12,22,199
P005,13,0,199
P005,14,16,215
P005,15,5,220
P005,16,23,243
P005,17,36,279
P005,18,41,320
P005,19,62,382
P005,20,31,412
P005,21,64,476
P005,22,27,503
P005,23,55,559
P005,24,39,598
P005,25,46,644
P005,26,43,687
P005,27,36,723
P005,28,99,822
P005,29,44,867
P005,30,56,923
P005,31,66,989
P005,32,66,1055
P005,33,26,1080
P005,34,76,1156
P005,35,48,1203
P005,36,58,1262
P005,37,68,1330
P005,38,45,1374
P005,39,75,1450
P005,40,43,1493
P005,41,35,1528
P005,42,54,1582
P005,43,73,1655
P005,44,84,1738
P005,45,63,1802
P005,46,101,1902
P005,47,74,1976
P005,48,74,2049
P005,49,79,2128
P005,50,127,2255
P005,51,74,2330
P005,52,128,2457
P006,1,83,83
P006,2,99,182
P006,3,71,253
P006,4,83,336
P006,5,86,423
P006,6,154,577
P006,7,65,642
P006,8,9,652
P006,9,74,726
P006,10,112,838
P006,11,120,958
P006,12,151,1109
P006,13,147,1256
P006,14,47,1302
P006,15,90,1392
P006,16,180,1572
P006,17,154,1726
P006,18,155,1881
P006,19,240,2121
P006,20,204,2324
P006,21,305,2629
P006,22,373,3002
P006,23,260,3263
P006,24,282,3544
P006,25,267,3811
P006,26,326,4137
P006,27,399,4536
P006,28,410,4946
P006,29,302,5248
P006,30,620,5868
P006,31,397,6265
P006,32,453,6718
P006,33,494,7212
P006,34,500,7712
P006,35,407,8118
P006,36,518,8637
P006,37,501,9138
P006,38,570,9708
P006,39,749,10456
P006,40,570,11027
P006,41,534,11561
P006,42,635,12196
P006,43,672,12868
P006,44,570,13438
P006,45,705,14143
P006,46,851,14994
P006,47,795,15789
P006,48,606,16395
P006,49,575,16971
P006,50,521,17491
P006,51,580,18071
P006,52,675,18746
P007,1,161,161
P007,2,116,277
P007,3,206,484
P007,4,147,631
P007,5,165,795
P007,6,247,1043
P007,7,168,1210
P007,8,215,1425
P007,9,301,1726
P007,10,215,1941
P007,11,274,2215
P007,12,292,2506
P007,13,252,2758
P007,14,291,3049
P007,15,301,3350
P007,16,306,3657
P007,17,340,3997
P007,18,316,4313
P007,19,263,4576
P007,20,328,4904
P007,21,321,5225
P007,22,245,5470
P007,23,307,5777
P007,24,290,6067
P007,25,321,6388
P007,26,217,6605
P007,27,298,6903
P007,28,238,7141
P007,29,255,7396
P007,30,227,7623
P007,31,199,7822
P007,32,154,7976
P007,33,180,8156
P007,34,153,8309
P007,35,158,8467
P007,36,97,8564
P007,37,127,8691
P007,38,56,8748
P007,39,68,8816
P007,40,62,8878
P007,41,66,8944
P007,42,61,9005
P007,43,72,9077
P007,44,44,9122
P007,45,60,9182
P007,46,47,9229
P007,47,60,9289
P007,48,43,9331
P007,49,26,9357
P007,50,21,9378
P007,51,41,9419
P007,52,7,9426
P008,1,11,11
P008,2,20,31
P008,3,34,64
P008,4,22,87
P008,5,26,113
P008,6,16,130
P008,7,23,153
P008,8,22,175
P008,9,38,213
P008,10,24,236
P008,11,24,260
P008,12,25,286
P008,13,37,323
P008,14,31,354
P008,15,49,404
P008,16,45,449
P008,17,38,487
P008,18,44,531
P008,19,46,577
P008,20,54,631
P008,21,39,670
P008,22,29,699
P008,23,57,756
P008,24,38,795
P008,25,51,846
P008,26,62,907
P008,27,44,952
P008,28,53,1005
P008,29,52,1057
P008,30,49,1105
P008,31,57,1163
P008,32,66,1228
P008,33,44,1272
P008,34,42,1314
P008,35,47,1361
P008,36,36,1398
P008,37,36,1434
P008,38,40,1474
P008,39,60,1534
P008,40,39,1573
P008,41,43,1616
P008,42,43,1660
P008,43,35,1694
P008,44,39,1733
P008,45,34,1767
P008,46,32,1800
P008,47,39,1838
P008,48,31,1870
P008,49,34,1904
P008,50,30,1934
P008,51,28,1962
P008,52,20,1982
P009,1,93,93
P009,2,49,142
P009,3,43,185
P009,4,20,205
P009,5,60,265
P009,6,26,291
P009,7,69,360
P009,8,86,446
P009,9,92,539
P009,10,103,642
P009,11,77,718
P009,12,118,837
P009,13,122,958
P009,14,81,1040
P009,15,154,1193
P009,16,172,1366
P009,17,132,1498
P009,18,239,1737
P009,19,248,1985
P009,20,212,2196
P009,21,228,2424
P009,22,256,2680
P009,23,240,2920
P009,24,228,3148
P009,25,263,3412
P009,26,223,3635
P009,27,360,3994
P009,28,353,4348
P009,29,355,4703
P009,30,403,5106
P009,31,414,5520
P009,32,462,5982
P009,33,530,6512
P009,34,351,6863
P009,35,418,7281
P009,36,487,7768
P009,37,425,8193
P009,38,435,8628
P009,39,634,9262
P009,40,474,9736
P009,41,335,10071
P009,42,338,10409
P009,43,537,10946
P009,44,434,11380
P009,45,438,11818
P009,46,415,12232
P009,47,360,12593
P009,48,234,12826
P009,49,338,13164
P009,50,277,13441
P009,51,237,13677
P009,52,274,13951
P010,1,512,512
P010,2,602,1114
P010,3,593,1707
P010,4,488,2195
P010,5,588,2783
P010,6,596,3379
P010,7,606,3984
P010,8,638,4622
P010,9,407,5028
P010,10,652,5680
P010,11,393,6073
P010,12,568,6641
P010,13,559,7200
P010,14,418,7618
P010,15,545,8163
P010,16,579,8742
P010,17,534,9276
P010,18,478,9754
P010,19,498,10253
P010,20,543,10796
P010,21,428,11224
P010,22,456,11680
P010,23,556,12236
P010,24,426,12662
P010,25,481,13143
P010,26,509,13652
P010,27,379,14031
P010,28,385,14416
P010,29,432,14847
P010,30,418,15265
P010,31,468,15733
P010,32,327,16060
P010,33,262,16322
P010,34,342,16664
P010,35,313,16977
P010,36,288,17265
P010,37,263,17528
P010,38,315,17843
P010,39,275,18117
P010,40,212,18329
P010,41,282,18610
P010,42,286,18896
P010,43,395,19292
P010,44,141,19433
P010,45,157,19590
P010,46,163,19753
P010,47,182,19934
P010,48,210,20145
P010,49,218,20362
P010,50,262,20624
P010,51,82,20706
P010,52,57,20762
P011,1,454,454
P011,2,529,983
P011,3,553,1535
P011,4,410,1945
P011,5,530,2475
P011,6,408,2883
P011,7,538,3420
P011,8,479,3900
P011,9,555,4454
P011,10,654,5108
P011,11,535,5643
P011,12,631,6274
P011,13,578,6852
P011,14,694,7546
P011,15,657,8203
P011,16,566,8769
P011,17,524,9294
P011,18,454,9747
P011,19,490,10238
P011,20,430,10667
P011,21,530,11197
P011,22,617,11814
P011,23,514,12328
P011,24,350,12678
P011,25,491,13169
P011,26,371,13540
P011,27,366,13906
P011,28,424,14330
P011,29,278,14608
P011,30,411,15018
P011,31,244,15263
P011,32,284,15547
P011,33,297,15844
P011,34,304,16148
P011,35,230,16378
P011,36,225,16603
P011,37,282,16885
P011,38,136,17021
P011,39,189,17210
P011,40,204,17414
P011,41,218,17632
P011,42,86,17718
P011,43,162,17880
P011,44,149,18029
P011,45,152,18181
P011,46,26,18207
P011,47,118,18325
P011,48,130,18455
P011,49,142,18597
P011,50,112,18709
P011,51,116,18825
P011,52,138,18962
P012,1,107,107
P012,2,175,282
P012,3,158,440
P012,4,226,666
P012,5,124,790
P012,6,142,932
P012,7,78,1010
P012,8,180,1190
P012,9,229,1419
P012,10,234,1653
P012,11,237,1890
P012,12,262,2153
P012,13,243,2396
P012,14,241,2637
P012,15,319,2956
P012,16,259,3215
P012,17,335,3550
P012,18,210,3760
P012,19,239,3999
P012,20,342,4342
P012,21,304,4646
P012,22,249,4895
P012,23,288,5183
P012,24,382,5565
P012,25,366,5931
P012,26,379,6310
P012,27,247,6556
P012,28,322,6878
P012,29,265,7143
P012,30,316,7459
P012,31,342,7801
P012,32,313,8114
P012,33,262,8376
P012,34,210,8586
P012,35,315,8901
P012,36,356,9257
P012,37,216,9472
P012,38,328,9800
P012,39,309,10109
P012,40,194,10303
P012,41,209,10512
P012,42,199,10711
P012,43,226,10937
P012,44,146,11084
P012,45,164,11248
P012,46,160,11408
P012,47,134,11542
P012,48,159,11701
P012,49,88,11789
P012,50,173,11963
P012,51,72,12035
P012,52,83,12118
P013,1,1170,1170
P013,2,1102,2273
P013,3,1352,3624
P013,4,1634,5258
P013,5,1916,7174
P013,6,1553,8727
P013,7,1558,10285
P013,8,1653,11938
P013,9,1844,13782
P013,10,2360,16142
P013,11,1929,18071
P013,12,2492,20563
P013,13,2118,22681
P013,14,1386,24067
P013,15,2264,26331
P013,16,2014,28344
P013,17,2548,30892
P013,18,1818,32710
P013,19,2096,34806
P013,20,1853,36660
P013,21,1629,38288
P013,22,1237,39525
P013,23,1555,41080
P013,24,1272,42352
P013,25,1146,43497
P013,26,1246,44743
P013,27,1219,45962
P013,28,899,46861
P013,29,792,47653
P013,30,716,48369
P013,31,510,48879
P013,32,661,49540
P013,33,249,49788
P013,34,193,49981
P013,35,302,50283
P013,36,209,50492
P013,37,218,50710
P013,38,371,51081
P013,39,176,51258
P013,40,224,51481
P013,41,87,51569
P013,42,0,51569
P013,43,220,51788
P013,44,310,52098
P013,45,115,52213
P013,46,78,52291
P013,47,88,52379
P013,48,225,52604
P013,49,148,52752
P013,50,131,52882
P013,51,160,53042
P013,52,36,53078
P014,1,1273,1273
P014,2,2804,4077
P014,3,3098,7176
P014,4,3743,10919
P014,5,4586,15505
P014,6,4761,20266
P014,7,4575,24840
P014,8,6729,31569
P014,9,6752,38321
P014,10,6200,44521
P014,11,8502,53023
P014,12,5865,58888
P014,13,9226,68114
P014,14,6552,74666
P014,15,8153,82818
P014,16,7251,90070
P014,17,6737,96807
P014,18,6835,103642
P014,19,5832,109474
P014,20,5581,115054
P014,21,3848,118902
P014,22,4412,123315
P014,23,3505,126819
P014,24,3188,130007
P014,25,2244,132251
P014,26,2101,134352
P014,27,1374,135726
P014,28,1307,137033
P014,29,1007,138040
P014,30,358,138398
P014,31,1298,139695
P014,32,889,140584
P014,33,923,141507
P014,34,857,142364
P014,35,382,142746
P014,36,0,142746
P014,37,894,143640
P014,38,627,144266
P014,39,146,144412
P014,40,0,144412
P014,41,449,144862
P014,42,0,144862
P014,43,56,144917
P014,44,189,145106
P014,45,76,145182
P014,46,132,145314
P014,47,0,145314
P014,48,163,145477
P014,49,0,145477
P014,50,361,145838
P014,51,0,145838
P014,52,0,145838
P015,1,70,70
P015,2,70,139
P015,3,55,194
P015,4,71,266
P015,5,54,319
P015,6,79,398
P015,7,65,463
P015,8,71,534
P015,9,83,617
P015,10,91,708
P015,11,77,786
P015,12,76,862
P015,13,79,941
P015,14,83,1024
P015,15,71,1096
P015,16,60,1156
P015,17,70,1226
P015,18,70,1296
P015,19,60,1356
P015,20,54,1410
P015,21,48,1458
P015,22,49,1506
P015,23,50,1557
P015,24,40,1597
P015,25,45,1642
P015,26,32,1674
P015,27,29,1703
P015,28,28,1731
P015,29,23,1754
P015,30,21,1775
P015,31,19,1794
P015,32,15,1808
P015,33,16,1825
P015,34,15,1840
P015,35,16,1856
P015,36,13,1869
P015,37,11,1881
P015,38,17,1898
P015,39,3,1900
P015,40,14,1914
P015,41,11,1925
P015,42,0,1926
P015,43,0,1926
P015,44,10,1936
P015,45,0,1936
P015,46,3,1939
P015,47,9,1948
P015,48,6,1954
P015,49,5,1959
P015,50,6,1964
P015,51,5,1970
P015,52,3,1973
P016,1,18,18
P016,2,15,33
P016,3,23,56
P016,4,31,87
P016,5,29,116
P016,6,41,157
P016,7,53,210
P016,8,49,259
P016,9,65,324
P016,10,72,396
P016,11,74,470
P016,12,99,569
P016,13,80,648
P016,14,100,749
P016,15,109,858
P016,16,110,968
P016,17,132,1100
P016,18,140,1241
P016,19,127,1368
P016,20,97,1466
P016,21,132,1597
P016,22,97,1694
P016,23,105,1798
P016,24,73,1872
P016,25,82,1953
P016,26,60,2013
P016,27,63,2076
P016,28,51,2127
P016,29,31,2159
P016,30,37,2196
P016,31,19,2214
P016,32,34,2249
P016,33,28,2276
P016,34,18,2294
P016,35,12,2306
P016,36,18,2325
P016,37,12,2336
P016,38,14,2351
P016,39,9,2359
P016,40,8,2367
P016,41,5,2372
P016,42,1,2373
P016,43,10,2383
P016,44,0,2383
P016,45,7,2390
P016,46,4,2395
P016,47,4,2399
P016,48,0,2399
P016,49,5,2404
P016,50,0,2404
P016,51,9,2413
P016,52,2,2415
P017,1,145,145
P017,2,176,321
P017,3,184,505
P017,4,172,676
P017,5,235,912
P017,6,214,1126
P017,7,229,1355
P017,8,189,1544
P017,9,235,1779
P017,10,246,2024
P017,11,267,2291
P017,12,247,2538
P017,13,188,2726
P017,14,206,2932
P017,15,215,3147
P017,16,189,3336
P017,17,213,3549
P017,18,182,3731
P017,19,139,3870
P017,20,155,4025
P017,21,164,4189
P017,22,180,4369
P017,23,126,4495
P017,24,145,4640
P017,25,112,4753
P017,26,78,4831
P017,27,97,4928
P017,28,112,5040
P017,29,77,5117
P017,30,92,5209
P017,31,54,5264
P017,32,47,5311
P017,33,48,5359
P017,34,24,5383
P017,35,37,5420
P017,36,51,5471
P017,37,55,5526
P017,38,43,5568
P017,39,41,5610
P017,40,27,5637
P017,41,18,5654
P017,42,26,5680
P017,43,14,5694
P017,44,29,5723
P017,45,9,5732
P017,46,12,5744
P017,47,25,5769
P017,48,8,5777
P017,49,26,5803
P017,50,0,5803
P017,51,5,5808
P017,52,11,5820
P018,1,14,14
P018,2,30,44
P018,3,20,64
P018,4,20,83
P018,5,17,100
P018,6,18,118
P018,7,30,148
P018,8,20,168
P018,9,22,190
P018,10,35,225
P018,11,29,254
P018,12,12,266
P018,13,34,301
P018,14,36,337
P018,15,38,375
P018,16,32,407
P018,17,43,450
P018,18,41,491
P018,19,37,529
P018,20,40,569
P018,21,18,587
P018,22,37,624
P018,23,42,666
P018,24,45,711
P018,25,43,754
P018,26,38,792
P018,27,40,832
P018,28,48,880
P018,29,47,927
P018,30,42,969
P018,31,40,1009
P018,32,41,1049
P018,33,39,1088
P018,34,53,1141
P018,35,48,1189
P018,36,36,1225
P018,37,39,1264
P018,38,48,1311
P018,39,47,1358
P018,40,44,1403
P018,41,45,1447
P018,42,27,1474
P018,43,47,1522
P018,44,37,1559
P018,45,43,1602
P018,46,24,1626
P018,47,20,1646
P018,48,31,1677
P018,49,40,1717
P018,50,23,1741
P018,51,30,1770
P018,52,20,1790
P019,1,91,91
P019,2,12,103
P019,3,122,225
P019,4,88,313
P019,5,148,460
P019,6,83,543
P019,7,159,702
P019,8,145,847
P019,9,255,1102
P019,10,252,1354
P019,11,229,1582
P019,12,342,1925
P019,13,295,2219
P019,14,358,2577
P019,15,412,2989
P019,16,517,3506
P019,17,621,4127
P019,18,446,4573
P019,19,560,5133
P019,20,520,5653
P019,21,594,6247
P019,22,706,6952
P019,23,822,7774
P019,24,731,8505
P019,25,746,9251
P019,26,853,10104
P019,27,686,10790
P019,28,669,11460
P019,29,799,12258
P019,30,589,12848
P019,31,446,13293
P019,32,639,13932
P019,33,478,14410
P019,34,449,14859
P019,35,452,15311
P019,36,374,15685
P019,37,463,16148
P019,38,343,16491
P019,39,339,16829
P019,40,278,17108
P019,41,291,17399
P019,42,181,17580
P019,43,198,17779
P019,44,175,17953
P019,45,167,18120
P019,46,73,18193
P019,47,103,18296
P019,48,165,18461
P019,49,96,18557
P019,50,49,18606
P019,51,26,18632
P019,52,56,18688
P020,1,306,306
P020,2,267,573
P020,3,252,825
P020,4,170,995
P020,5,448,1443
P020,6,346,1789
P020,7,298,2087
P020,8,630,2717
P020,9,707,3424
P020,10,736,4160
P020,11,923,5083
P020,12,756,5839
P020,13,1086,6925
P020,14,1306,8231
P020,15,1222,9453
P020,16,1210,10663
P020,17,1297,11960
P020,18,1886,13846
P020,19,1437,15283
P020,20,1739,17022
P020,21,2309,19331
P020,22,2322,21652
P020,23,2364,24017
P020,24,2225,26242
P020,25,2510,28752
P020,26,3245,31997
P020,27,3094,35091
P020,28,2534,37625
P020,29,3249,40874
P020,30,3069,43943
P020,31,2408,46350
P020,32,3362,49713
P020,33,2311,52024
P020,34,2555,54579
P020,35,2052,56631
P020,36,2358,58990
P020,37,2079,61068
P020,38,2348,63417
P020,39,2232,65649
P020,40,1745,67394
P020,41,1966,69360
P020,42,1894,71254
P020,43,1474,72728
P020,44,1528,74256
P020,45,1097,75353
P020,46,1152,76506
P020,47,983,77489
P020,48,640,78128
P020,49,1207,79336
P020,50,956,80291
P020,51,282,80573
P020,52,426,80999
P021,1,409,409
P021,2,531,939
P021,3,450,1389
P021,4,681,2070
P021,5,697,2768
P021,6,758,3526
P021,7,800,4326
P021,8,664,4990
P021,9,675,5665
P021,10,784,6449
P021,11,745,7194
P021,12,634,7828
P021,13,752,8580
P021,14,624,9204
P021,15,696,9900
P021,16,597,10496
P021,17,629,11125
P021,18,485,11610
P021,19,407,12017
P021,20,476,12493
P021,21,302,12796
P021,22,317,13112
P021,23,295,13407
P021,24,240,13647
P021,25,155,13802
P021,26,198,14001
P021,27,104,14104
P021,28,194,14298
P021,29,123,14421
P021,30,105,14526
P021,31,65,14591
P021,32,80,14671
P021,33,55,14726
P021,34,47,14774
P021,35,38,14811
P021,36,61,14872
P021,37,24,14897
P021,38,50,14947
P021,39,63,15010
P021,40,121,15131
P021,41,36,15167
P021,42,0,15167
P021,43,0,15167
P021,44,8,15176
P021,45,44,15220
P021,46,5,15225
P021,47,42,15267
P021,48,0,15267
P021,49,10,15278
P021,50,33,15311
P021,51,22,15333
P021,52,0,15333
P022,1,817,817
P022,2,842,1659
P022,3,1031,2690
P022,4,1145,3835
P022,5,1330,5165
P022,6,1126,6292
P022,7,1759,8050
P022,8,1652,9702
P022,9,1607,11309
P022,10,1723,13032
P022,11,1466,14498
P022,12,1732,16231
P022,13,1366,17597
P022,14,940,18536
P022,15,1195,19731
P022,16,1246,20977
P022,17,817,21794
P022,18,902,22696
P022,19,734,23430
P022,20,748,24178
P022,21,648,24826
P022,22,369,25195
P022,23,445,25640
P022,24,414,26054
P022,25,275,26329
P022,26,293,26622
P022,27,365,26987
P022,28,183,27170
P022,29,177,27347
P022,30,40,27387
P022,31,46,27434
P022,32,30,27464
P022,33,106,27570
P022,34,18,27588
P022,35,0,27588
P022,36,68,27656
P022,37,0,27656
P022,38,0,27656
P022,39,65,27721
P022,40,56,27776
P022,41,0,27776
P022,42,19,27795
P022,43,0,27795
P022,44,17,27812
P022,45,18,27830
P022,46,8,27838
P022,47,69,27908
P022,48,172,28080
P022,49,27,28107
P022,50,116,28223
P022,51,0,28223
P022,52,0,28223
P023,1,521,521
P023,2,616,1138
P023,3,640,1778
P023,4,902,2679
P023,5,720,3399
P023,6,744,4144
P023,7,718,4862
P023,8,849,5711
P023,9,725,6436
P023,10,905,7340
P023,11,877,8217
P023,12,675,8892
P023,13,627,9519
P023,14,748,10266
P023,15,491,10758
P023,16,518,11276
P023,17,740,12016
P023,18,443,12458
P023,19,471,12929
P023,20,445,13374
P023,21,366,13740
P023,22,299,14039
P023,23,336,14374
P023,24,257,14631
P023,25,298,14930
P023,26,274,15204
P023,27,235,15439
P023,28,172,15611
P023,29,100,15710
P023,30,102,15812
P023,31,159,15971
P023,32,127,16098
P023,33,86,16184
P023,34,69,16252
P023,35,93,16345
P023,36,51,16396
P023,37,50,16446
P023,38,60,16506
P023,39,47,16553
P023,40,5,16558
P023,41,41,16599
P023,42,36,16635
P023,43,20,16654
P023,44,0,16654
P023,45,4,16659
P023,46,0,16659
P023,47,25,16684
P023,48,0,16684
P023,49,59,16743
P023,50,49,16792
P023,51,22,16814
P023,52,35,16849
P024,1,24,24
P024,2,24,48
P024,3,31,80
P024,4,37,117
P024,5,46,163
P024,6,53,216
P024,7,59,276
P024,8,62,337
P024,9,64,401
P024,10,81,482
P024,11,100,581
P024,12,93,674
P024,13,102,776
P024,14,114,890
P024,15,138,1028
P024,16,98,1126
P024,17,123,1249
P024,18,116,1365
P024,19,95,1460
P024,20,71,1531
P024,21,86,1617
P024,22,64,1681
P024,23,81,1762
P024,24,57,1819
P024,25,56,1875
P024,26,39,1914
P024,27,32,1946
P024,28,42,1988
P024,29,24,2012
P024,30,25,2037
P024,31,8,2045
P024,32,20,2066
P024,33,9,2075
P024,34,12,2086
P024,35,2,2088
P024,36,11,2099
P024,37,8,2107
P024,38,2,2108
P024,39,0,2108
P024,40,8,2117
P024,41,4,2120
P024,42,3,2123
P024,43,0,2123
P024,44,1,2125
P024,45,2,2126
P024,46,6,2132
P024,47,4,2136
P024,48,0,2136
P024,49,0,2136
P024,50,0,2136
P024,51,1,2137
P024,52,0,2137
P025,1,91,91
P025,2,71,162
P025,3,94,257
P025,4,110,367
P025,5,122,489
P025,6,121,610
P025,7,130,740
P025,8,118,857
P025,9,136,994
P025,10,129,1123
P025,11,135,1258
P025,12,144,1401
P025,13,119,1520
P025,14,105,1625
P025,15,168,1794
P025,16,182,1976
P025,17,108,2084
P025,18,197,2281
P025,19,179,2459
P025,20,172,2631
P025,21,197,2828
P025,22,159,2987
P025,23,174,3161
P025,24,239,3399
P025,25,230,3629
P025,26,155,3784
P025,27,177,3962
P025,28,156,4118
P025,29,162,4280
P025,30,152,4433
P025,31,146,4578
P025,32,164,4743
P025,33,160,4903
P025,34,172,5076
P025,35,160,5236
P025,36,162,5398
P025,37,136,5533
P025,38,138,5671
P025,39,149,5820
P025,40,134,5954
P025,41,147,6101
P025,42,127,6228
P025,43,132,6360
P025,44,116,6477
P025,45,90,6567
P025,46,145,6712
P025,47,84,6796
P025,48,70,6866
P025,49,80,6946
P025,50,43,6989
P025,51,34,7023
P025,52,112,7135
P026,1,245,245
P026,2,367,611
P026,3,427,1038
P026,4,358,1396
P026,5,439,1836
P026,6,393,2229
P026,7,399,2628
P026,8,338,2966
P026,9,535,3501
P026,10,521,4022
P026,11,624,4646
P026,12,594,5240
P026,13,552,5792
P026,14,475,6267
P026,15,645,6912
P026,16,446,7358
P026,17,594,7952
P026,18,463,8415
P026,19,398,8813
P026,20,775,9588
P026,21,481,10069
P026,22,685,10753
P026,23,524,11277
P026,24,670,11947
P026,25,548,12495
P026,26,472,12967
P026,27,541,13508
P026,28,539,14048
P026,29,490,14537
P026,30,614,15152
P026,31,318,15470
P026,32,523,15993
P026,33,545,16538
P026,34,446,16984
P026,35,527,17511
P026,36,420,17931
P026,37,543,18474
P026,38,470,18944
P026,39,476,19420
P026,40,374,19793
P026,41,420,20214
P026,42,393,20607
P026,43,254,20860
P026,44,416,21276
P026,45,371,21647
P026,46,350,21997
P026,47,271,22268
P026,48,198,22466
P026,49,278,22744
P026,50,312,23056
P026,51,166,23222
P026,52,346,23568
P027,1,80,80
P027,2,75,155
P027,3,104,259
P027,4,84,343
P027,5,132,476
P027,6,147,622
P027,7,168,790
P027,8,198,988
P027,9,168,1156
P027,10,241,1397
P027,11,220,1617
P027,12,180,1797
P027,13,169,1966
P027,14,209,2175
P027,15,199,2374
P027,16,197,2571
P027,17,217,2789
P027,18,190,2979
P027,19,150,3129
P027,20,134,3263
P027,21,107,3370
P027,22,75,3445
P027,23,94,3539
P027,24,60,3599
P027,25,89,3688
P027,26,75,3763
P027,27,49,3812
P027,28,34,3847
P027,29,41,3888
P027,30,23,3911
P027,31,37,3947
P027,32,30,3977
P027,33,0,3977
P027,34,15,3992
P027,35,16,4008
P027,36,17,4025
P027,37,1,4026
P027,38,10,4037
P027,39,15,4052
P027,40,0,4052
P027,41,0,4052
P027,42,8,4060
P027,43,8,4068
P027,44,14,4082
P027,45,4,4085
P027,46,4,4089
P027,47,0,4089
P027,48,12,4101
P027,49,12,4114
P027,50,0,4114
